"","year","week","predict","p.1","p0","p1"
"241",2013,49,"1",0.0002855529788593,0.0320931129552642,0.967621334065876
"242",2014,49,"0",0.0326997138126747,0.918140049740422,0.0491602364469038
"243",2015,49,"-1",0.99475727624581,0.00392119839945724,0.00132152535473308
"244",2016,49,"0",0.00379314473347562,0.990900944664955,0.00530591060156977
"245",2017,49,"0",0.00103586575022416,0.993229016780344,0.00573511746943196
"246",2013,50,"1",0.000990053535180497,0.00653069941827525,0.992479247046544
"247",2014,50,"0",0.00173582872181266,0.985239392579311,0.0130247786988762
"248",2015,50,"-1",0.510767755962124,0.482372938449949,0.00685930558792703
"249",2016,50,"0",0.00273652029042877,0.996548003662346,0.000715476047225247
"250",2017,50,"0",0.0261963732403923,0.9061515156997,0.0676521110599074
"251",2013,51,"0",0.00794749926561476,0.739589462175682,0.252463038558703
"252",2014,51,"0",0.00326288426239145,0.993966530607096,0.00277058513051288
"253",2015,51,"-1",0.959034101443466,0.0388058095670757,0.00216008898945796
"254",2016,51,"0",0.00045610075899058,0.998983850889745,0.000560048351264735
"255",2017,51,"0",0.044248049059685,0.934983739986121,0.0207682109541944
"256",2013,52,"1",0.00883516214458335,0.0172580092583159,0.973906828597101
"257",2014,52,"0",0.0178221374479602,0.980379260144801,0.00179860240723868
"258",2015,52,"0",0.0493184668813198,0.915210821183367,0.0354707119353132
"259",2016,52,"0",0.0010921192872437,0.998404158862096,0.000503721850660313
"260",2017,52,"0",0.0858075349191756,0.904409670372399,0.00978279470842497
"261",2016,53,"-1",0.974578968835072,0.0228168281840182,0.00260420298090989
